Date,Opponent,Result,FGM,FGA,FG%,FTM,FTA,FT%,3FGM,3FGA,3FG%,PTS
11/06,@ PITT,L 61-63,21.0,53.0,39.6,13.0,15.0,86.7,6.0,20.0,30.0,61.0
11/10,@ FLA,W 63-51,20.0,55.0,36.4,18.0,23.0,78.3,5.0,17.0,29.4,63.0
11/15,vs WCU,W 79-74,25.0,55.0,45.5,23.0,28.0,82.1,6.0,20.0,30.0,79.0
11/20,vs CHAT,W 89-53,34.0,65.0,52.3,11.0,17.0,64.7,10.0,25.0,40.0,89.0
11/23,vs SFPA,W 80-65,28.0,60.0,46.7,15.0,17.0,88.2,9.0,25.0,36.0,80.0
11/25,vs CHS,W 113-56,38.0,58.0,65.5,27.0,31.0,87.1,10.0,23.0,43.5,113.0
11/29,vs TENN,W 60-57,19.0,54.0,35.2,19.0,29.0,65.5,3.0,11.0,27.3,60.0
11/30,@ PUR,W 63-60,22.0,58.0,37.9,18.0,25.0,72.0,1.0,17.0,5.9,63.0
12/03,@ IND,L 64-80,25.0,53.0,47.2,7.0,16.0,43.8,7.0,19.0,36.8,64.0
12/08,vs CLEM,W 72-53,25.0,54.0,46.3,7.0,10.0,70.0,15.0,32.0,46.9,72.0
12/17,vs UNF,W 98-81,41.0,72.0,56.9,10.0,14.0,71.4,6.0,19.0,31.6,98.0
12/21,@ USF,W 66-60,22.0,55.0,40.0,15.0,19.0,78.9,7.0,27.0,25.9,66.0
12/28,vs UNA,W 88-71,32.0,64.0,50.0,17.0,17.0,100.0,7.0,21.0,33.3,88.0
12/31,vs GT,W 70-58,29.0,63.0,46.0,6.0,9.0,66.7,6.0,17.0,35.3,70.0
01/04,@ LOU,W 78-65,32.0,58.0,55.2,3.0,5.0,60.0,11.0,23.0,47.8,78.0
01/08,@ WAKE,W 78-68,27.0,62.0,43.5,18.0,24.0,75.0,6.0,23.0,26.1,78.0
01/15,vs UVA,W 54-50,20.0,54.0,37.0,6.0,8.0,75.0,8.0,22.0,36.4,54.0
01/18,@ MIA,W 83-79,29.0,69.0,42.0,15.0,18.0,83.3,10.0,28.0,35.7,83.0
01/25,vs ND,W 85-84,30.0,65.0,46.2,13.0,14.0,92.9,12.0,18.0,66.7,85.0
01/28,@ UVA,L 56-61,21.0,54.0,38.9,7.0,11.0,63.6,7.0,20.0,35.0,56.0
02/01,@ VT,W 74-63,28.0,57.0,49.1,8.0,11.0,72.7,10.0,22.0,45.5,74.0
02/03,vs UNC,W 65-59,23.0,55.0,41.8,15.0,17.0,88.2,4.0,15.0,26.7,65.0
02/08,vs MIA,W 99-81,35.0,66.0,53.0,16.0,17.0,94.1,13.0,26.0,50.0,99.0
02/10,@ DUKE,L 65-70,25.0,66.0,37.9,12.0,20.0,60.0,3.0,18.0,16.7,65.0
02/15,vs SYR,W 80-77,28.0,65.0,43.1,13.0,17.0,76.5,11.0,25.0,44.0,80.0
02/18,vs PITT,W 82-67,32.0,64.0,50.0,9.0,12.0,75.0,9.0,22.0,40.9,82.0
02/22,@ NCST,W 67-61,22.0,54.0,40.7,18.0,29.0,62.1,5.0,19.0,26.3,67.0
02/24,vs LOU,W 82-67,28.0,55.0,50.9,21.0,27.0,77.8,5.0,16.0,31.3,82.0
02/29,@ CLEM,L 69-70,25.0,50.0,50.0,11.0,18.0,61.1,8.0,21.0,38.1,69.0
03/04,@ ND,W 73-71,27.0,62.0,43.5,14.0,17.0,82.4,5.0,18.0,27.8,73.0
03/07,vs BC,W 80-62,31.0,73.0,42.5,13.0,22.0,59.1,5.0,26.0,19.2,80.0
03/12,vs TBA,,,,,,,,,,,
